PlatePosition,PCR,ID,OldName,MergedName,NewName
A1,pcr1,A1-pcr1,plasmid_control_pcr1,plasmid_control,plasmid_control_pcr1
A1,pcr2,A1-pcr2,plasmid_control_pcr2,plasmid_control,plasmid_control_pcr2
A1,pcr3,A1-pcr3,plasmid_control_pcr3,plasmid_control,plasmid_control_pcr3
A10,pcr1,A10-pcr1,female_transmission_kidney_pcr1,female_transmission_kidney,female_transmission_kidney_pcr1
A10,pcr2,A10-pcr2,female_transmission_kidney_pcr2,female_transmission_kidney,female_transmission_kidney_pcr2
A10,pcr3,A10-pcr3,female_transmission_kidney_pcr3,female_transmission_kidney,female_transmission_kidney_pcr3
A11,pcr1,A11-pcr1,female_transmission_spleen_pcr1,female_transmission_spleen,female_transmission_spleen_pcr1
A11,pcr2,A11-pcr2,female_transmission_spleen_pcr2,female_transmission_spleen,female_transmission_spleen_pcr2
A11,pcr3,A11-pcr3,female_transmission_spleen_pcr3,female_transmission_spleen,female_transmission_spleen_pcr3
A12,pcr1,A12-pcr1,female_transmission_overies_pcr1,female_transmission_overies,female_transmission_overies_pcr1
A12,pcr2,A12-pcr2,female_transmission_overies_pcr2,female_transmission_overies,female_transmission_overies_pcr2
A12,pcr3,A12-pcr3,female_transmission_overies_pcr3,female_transmission_overies,female_transmission_overies_pcr3
A2,pcr1,A2-pcr1,viral_stock_control_pcr1,viral_stock_control,viral_stock_control_pcr1
A2,pcr2,A2-pcr2,viral_stock_control_pcr2,viral_stock_control,viral_stock_control_pcr2
A2,pcr3,A2-pcr3,viral_stock_control_pcr3,viral_stock_control,viral_stock_control_pcr3
A3,pcr1,A3-pcr1,male_transmission_brain_pcr1,male_transmission_brain,male_transmission_brain_pcr1
A3,pcr2,A3-pcr2,male_transmission_brain_pcr2,male_transmission_brain,male_transmission_brain_pcr2
A3,pcr3,A3-pcr3,male_transmission_brain_pcr3,male_transmission_brain,male_transmission_brain_pcr3
A4,pcr1,A4-pcr1,male_transmission_spinal_cord_pcr1,male_transmission_spinal_cord,male_transmission_spinal_cord_pcr1
A4,pcr2,A4-pcr2,male_transmission_spinal_cord_pcr2,male_transmission_spinal_cord,male_transmission_spinal_cord_pcr2
A4,pcr3,A4-pcr3,male_transmission_spinal_cord_pcr3,male_transmission_spinal_cord,male_transmission_spinal_cord_pcr3
A5,pcr1,A5-pcr1,male_transmission_testis_pcr1,male_transmission_testis,male_transmission_testis_pcr1
A5,pcr2,A5-pcr2,male_transmission_testis_pcr2,male_transmission_testis,male_transmission_testis_pcr2
A5,pcr3,A5-pcr3,male_transmission_testis_pcr3,male_transmission_testis,male_transmission_testis_pcr3
A6,pcr1,A6-pcr1,male_transmission_kidney_pcr1,male_transmission_kidney,male_transmission_kidney_pcr1
A6,pcr2,A6-pcr2,male_transmission_kidney_pcr2,male_transmission_kidney,male_transmission_kidney_pcr2
